statistic,rho_hrc_vot_allstates,rho_hrc_vep_allstates,rho_hrc_vvt_allstates,rho_djt_avp_allstates,rho_djt_vep_allstates,rho_djt_vvt_allstates,rho_hrc_vot_Rstates,rho_hrc_vep_Rstates,rho_hrc_vvt_Rstates,rho_djt_avp_Rstates,rho_djt_vep_Rstates,rho_djt_vvt_Rstates,rho_hrc_vot_Dstates,rho_hrc_vep_Dstates,rho_hrc_vvt_Dstates,rho_djt_avp_Dstates,rho_djt_vep_Dstates,rho_djt_vvt_Dstates,rho_hrc_vot_swingstates,rho_hrc_vep_swingstates,rho_hrc_vvt_swingstates,rho_djt_avp_swingstates,rho_djt_vep_swingstates,rho_djt_vvt_swingstates
10%,-0.00231959745701883,-0.00345242384391265,-0.0027003677894121,-0.00717493112130192,-0.00810598844861962,-0.00703324830393082,0.000327661632153368,-0.000819004963302038,0.000021562652796938,-0.0075096997004736,-0.00881219621444129,-0.00757973153649779,-0.00460952614847037,-0.00650964692539313,-0.00445170365142366,-0.00479664542623715,-0.00564166806179764,-0.00385192380936313,-0.00134912855219559,-0.00307554392545093,-0.00199616225733946,-0.00561479428693345,-0.00663980728976912,-0.00560643384604101
25%,-0.00106949175148562,-0.0024401250185109,-0.00158537937866248,-0.00615232383545072,-0.00744668799198865,-0.005942939930474,0.00118505609603435,-0.000450672995465206,0.000809080983189017,-0.00715832038696735,-0.00803842429031614,-0.00697936471334583,-0.0023451722087354,-0.00356386859461287,-0.00282652297000564,-0.0036683788675288,-0.00461705989007859,-0.00349269331583003,-0.000850597500902473,-0.00213649191335583,-0.00127185457823081,-0.00522315348588577,-0.00615114862484969,-0.00513787528526361
mean,0.000141540461234594,-0.00136523598002047,-0.000205836547960203,-0.00496343777335304,-0.00594710390259333,-0.00466270138805095,0.00177923351925367,0.000417234979052652,0.00158705803480072,-0.00633468978398703,-0.00737377565673736,-0.00609676383371948,-0.00176100918177956,-0.00357967742680883,-0.0023701364935917,-0.00330055703029474,-0.00416497993829727,-0.00284323603440688,-0.000288340537857189,-0.00165625889932779,-0.000576212062624543,-0.00456156599734743,-0.00558903320053735,-0.00433520958035505
50%,0.000108430576086728,-0.00101318938884928,-0.000386518895075809,-0.00501021359437278,-0.00599967884959336,-0.00457239572711747,0.0017966692557985,0.000453038200719178,0.0015441843679356,-0.00668159099403382,-0.0076936689265736,-0.00603659883024674,-0.00173687945321079,-0.00305748412939066,-0.00196730301577393,-0.00311339989060399,-0.00419219464110739,-0.0030642003691095,-0.000276878796733106,-0.00175260843670907,-0.000642898862498201,-0.00479895433834385,-0.00566398993671361,-0.0047785896627463
75%,0.00170132901486898,0.000235583770816395,0.00139242412843296,-0.00358236186055068,-0.00458664844763093,-0.00340862803288696,0.00235488250616422,0.00113490554243445,0.00209069741590351,-0.00555376702970555,-0.00656824112089508,-0.0052213055611697,-0.000426285448421682,-0.00220649014129913,-0.00151437488035289,-0.00281502062961796,-0.00363052123729892,-0.00252626332111933,0.000410237169927953,-0.000868586168129322,0.000252094107140141,-0.00427696487834342,-0.00543375179850605,-0.00374975056641538
90%,0.00239427486947283,0.00113899175894867,0.00216130181794872,-0.00277534396561224,-0.00372849973287825,-0.00255484455815478,0.00293197211646766,0.00148422865105857,0.00342562606822949,-0.00477177975885415,-0.0052450586818522,-0.00412725181072171,-0.0000616427140071694,-0.00149353227768299,-0.00106244965441371,-0.00207497867311023,-0.00273556357958536,-0.00155676238282844,0.000844845416796719,-0.000472101372624669,0.00102807502528375,-0.00297828061490717,-0.00406558356791718,-0.00265466587071439
std_deviation,0.0021478460587767,0.00249040960578793,0.00218940986074883,0.00174236028630205,0.0018262720253879,0.00183483559619016,0.00145985984541235,0.00137908001364519,0.0013158942494941,0.00122859811896393,0.00136486880666254,0.00132880967907293,0.00179553769786261,0.00262150715787818,0.00156667888870792,0.00118719402224109,0.00113115088771222,0.00106209983696872,0.00123239110066331,0.00121188239219548,0.00125984855548324,0.00101571857415119,0.00101283683103856,0.00114732994457844
length,51,51,51,50,50,50,22,22,22,22,22,22,16,16,16,15,15,15,13,13,13,13,13,13
