state,st,color,vap,vep,votes_hrc,tot_votes,pct_hrc_vep,pct_hrc_voters,cces_n_voters,cces_n_raw,cces_tothrc_adj_trn,cces_tothrc_raw,cces_pct_hrc_voters,cces_pct_hrc_vep,cces_pct_hrc_raw,cv_turnout_wgt,yougov_pct_hrc,yougov_n,State Results Website,rho_voter,rho_vep
Kentucky,KY,R,3430652,3276651,628854,1924149,0.19191973756130878,0.3268218833364776,668.4,933,273,336,0.40843806104129265,0.29260450160771706,0.36012861736334406,0.4720464741316525,0.322,1229,http://elect.ky.gov/results/2010-2019/Documents/2016%20General%20Election%20Results.pdf,0.0029331454104263963,0.001198392433424384
Louisiana,LA,R,3571652,3380951,780154,2029032,0.23074986889783378,0.3844956609851397,514.9,689,202.70000000000002,247,0.3936686735288406,0.2941944847605225,0.3584905660377358,0.4180778747570651,0.359,1355,https://voterportal.sos.la.gov/Graphical,2.771626207753145e-4,-7.631881036631221e-4
Maine,ME,swing,1078037,1060905,357735,747927,0.3371979583468831,0.47830202680208095,254.8,329,98.5,118,0.38657770800627944,0.2993920972644377,0.3586626139817629,0.37873390484140623,0.387,437,http://www.maine.gov/sos/cec/elec/results/results16-17.html#nov,-0.0031699473661629222,-0.004218330848424502
Maryland,MD,D,4670900,4176484,1677928,2781446,0.40175611830429614,0.6032574423519277,878.8000000000001,1200,517.3000000000001,632,0.5886436049157943,0.4310833333333334,0.5266666666666666,0.4444088403619608,0.55,1652,http://elections.maryland.gov/elections/2016/results/General/gen_results_2016_4_001-.html,-4.852750042844508e-4,-0.002654106476390206
Massachusetts,MA,D,5442458,4947241,1995196,3325046,0.40329468485565995,0.6000506459158761,1080.6000000000001,1442,574.6,704,0.5317416250231353,0.3984743411927878,0.4882108183079057,0.4179663385326413,0.513,1963,http://www.sec.state.ma.us/ele/elepdf/2016-Electors-Certification.pdf,-0.0023195974570188326,-0.0038982028467135403
Michigan,MI,swing,7744567,7423233,2268839,4799284,0.30564027829922624,0.4727453095086684,1610.3,2110,747.8000000000001,888,0.4643855182264175,0.35440758293838864,0.4208530805687204,0.39380664243211655,0.42,3.014,http://miboecfr.nictusa.com/election/results/2016GEN_CENR.html,-2.854257359590022e-4,-0.0017526084367090733
Minnesota,MN,swing,4240423,3966155,1367716,2944813,0.34484683528505566,0.4644491857377701,841.1,1083,383.3,452,0.45571275710379266,0.3539242843951985,0.41735918744228995,0.3788549792832045,0.423,1736,http://www.sos.state.mn.us/elections-voting/2016-general-election-results/,-2.7687879673310553e-4,-0.0015604430354237751
Mississippi,MS,R,2268089,2176312,485131,1209357,0.22291426964516117,0.40114788271784096,291.6,409,139.70000000000002,174,0.4790809327846365,0.3415647921760392,0.4254278728606357,0.4677250887868255,0.395,861,http://www.sos.ms.gov/Elections-Voting/Pages/2016-General-Election.aspx,0.0022367054162383917,6.791697710150452e-4
Missouri,MO,R,4710784,4511812,1071068,2808605,0.2373919835312287,0.3813523083523671,996.1,1309,421.5,506,0.4231502861158518,0.3220015278838808,0.3865546218487395,0.3956825026029555,0.358,1814,http://enr.sos.mo.gov/enrnet/default.aspx?eid=750003949,0.0015071558470740652,1.8246054458221484e-4
Montana,MT,R,817702,804381,177709,497147,0.22092640179218553,0.35745765337012997,151.8,191,46.5,56,0.3063241106719367,0.24345549738219896,0.2931937172774869,0.3442178700780387,0.317,307,http://mtelectionresults.gov/,-0.0017631132260237667,-0.0020665289513585516
Nebraska,NE,R,1436437,1349903,284494,844227,0.21075143917748165,0.33698756377135536,281.8,370,113.8,138,0.40383250532292403,0.30756756756756753,0.372972972972973,0.405983387925792,0.32299999999999995,506,http://www.sos.ne.gov/elec/2016/pdf/2016-canvass-book.pdf,0.0023942748694728323,0.0012605723559885819
Nevada,NV,swing,2276281,1964097,539260,1125385,0.27455874124343144,0.4791782367811904,517.2,695,253.20000000000002,317,0.4895591647331786,0.36431654676258995,0.45611510791366905,0.42381801431420485,0.425,656,http://silverstateelection.com/,4.102371699279531e-4,-8.685861681293223e-4
